hours,kW
0,194.596255
1,194.596255
2,194.596255
3,194.596255
4,194.596255
5,194.596255
6,195.971794
7,201.473951
8,212.478263
9,204.225029
10,204.225029
11,204.225029
12,204.225029
13,204.225029
14,204.225029
15,204.225029
16,204.225029
17,204.225029
18,217.980419
19,212.478263
20,212.478263
21,212.478263
22,206.976107
23,198.722872
24,177.923513
25,177.923513
26,177.923513
27,177.923513
28,177.923513
29,312.839708
30,335.712957
31,4273.367666
32,3124.448694
33,2687.161082
34,2762.543208
35,2700.767603
36,3054.999406
37,3232.152192
38,3008.581212
39,3508.169672
40,3120.486492
41,3161.923059
42,292.342665
43,297.844821
44,266.932982
45,266.932982
46,214.012518
47,182.05013
48,177.923513
49,177.923513
50,177.923513
51,177.923513
52,177.923513
53,312.839708
54,335.712957
55,5116.764569
56,3441.038546
57,3393.518775
58,3272.274008
59,3517.09432
60,3302.728705
61,3554.415174
62,3437.354427
63,3802.529301
64,4007.220216
65,5168.984059
66,292.342665
67,297.844821
68,266.932982
69,266.932982
70,214.012518
71,182.05013
72,177.923513
73,177.923513
74,177.923513
75,177.923513
76,177.923513
77,312.839708
78,335.712957
79,9154.612373
80,5934.771309
81,5490.603122
82,4989.1694
83,4903.619944
84,5171.863832
85,5314.359498
86,5418.434782
87,5337.02107
88,5621.855205
89,6262.910889
90,292.342665
91,297.844821
92,266.932982
93,266.932982
94,214.012518
95,182.05013
96,177.923513
97,177.923513
98,177.923513
99,177.923513
100,177.923513
101,312.839708
102,335.712957
103,11907.491979
104,8431.228938
105,7106.860276
106,6788.150314
107,6329.215376
108,6405.743984
109,6624.192734
110,6721.513749
111,7141.703499
112,7817.676811
113,8975.716192
114,292.342665
115,297.844821
116,266.932982
117,444.581625
118,214.012518
119,182.05013
120,177.923513
121,177.923513
122,177.923513
123,177.923513
124,177.923513
125,312.839708
126,335.712957
127,18902.95612
128,13632.703059
129,10993.046181
130,9724.548942
131,8984.044303
132,8223.492976
133,8456.41432
134,8143.676379
135,8497.351906
136,8889.347064
137,10065.208133
138,292.342665
139,297.844821
140,266.932982
141,266.932982
142,214.012518
143,182.05013
144,194.596255
145,194.596255
146,194.596255
147,194.596255
148,194.596255
149,194.596255
150,243.858692
151,252.111926
152,254.863005
153,217.469505
154,211.967348
155,241.107614
156,241.107614
157,211.967348
158,389.644037
159,211.967348
160,211.967348
161,241.107614
162,221.218226
163,217.980419
164,217.980419
165,217.980419
166,212.478263
167,209.727185
168,194.596255
169,194.596255
170,194.596255
171,194.596255
172,194.596255
173,194.596255
174,243.858692
175,249.360848
176,260.365161
177,222.971661
178,222.971661
179,252.111926
180,252.111926
181,222.971661
182,222.971661
183,252.111926
184,207.462836
185,204.225029
186,217.980419
187,212.478263
188,212.478263
189,212.478263
190,206.976107
191,198.722872
192,177.923513
193,177.923513
194,177.923513
195,177.923513
196,177.923513
197,312.839708
198,335.712957
199,13654.569679
200,9173.55788
201,7584.394697
202,7035.556491
203,6540.588418
204,6383.329258
205,6611.605782
206,7128.002598
207,7200.808654
208,7766.84363
209,8811.041545
210,292.342665
211,297.844821
212,266.932982
213,266.932982
214,214.012518
215,182.05013
216,177.923513
217,177.923513
218,177.923513
219,177.923513
220,177.923513
221,312.839708
222,335.712957
223,16366.581692
224,11457.743097
225,9278.523758
226,8128.90703
227,7055.865956
228,6666.040277
229,7467.363943
230,7515.481048
231,7545.584033
232,7492.165276
233,8500.842871
234,292.342665
235,297.844821
236,266.932982
237,266.932982
238,214.012518
239,182.05013
240,177.923513
241,177.923513
242,177.923513
243,177.923513
244,355.600435
245,312.839708
246,335.712957
247,13281.975106
248,8959.71867
249,6891.365174
250,5393.463218
251,4946.694387
252,3992.719211
253,4383.826511
254,4175.152902
255,4463.222745
